FileName;Group;ShortName
GSM148911.CEL;rMM;rMM1
GSM148914.CEL;MM;MM1
GSM148915.CEL;MM;MM2
GSM148916.CEL;rMM;rMM2
GSM148917.CEL;MM;MM3
GSM148918.CEL;MM;MM4
GSM148920.CEL;rMM;rMM3
GSM148921.CEL;MM;MM5
GSM148922.CEL;MM;MM6
GSM148923.CEL;MM;MM7
GSM148924.CEL;rMM;rMM4
GSM148925.CEL;MM;MM8
GSM148926.CEL;rMM;rMM5
GSM148930.CEL;rMM;rMM6
GSM148932.CEL;rMM;rMM7
GSM148933.CEL;rMM;rMM8
GSM148934.CEL;rMM;rMM9
GSM148935.CEL;rMM;rMM10
GSM148936.CEL;rMM;rMM11
GSM148938.CEL;MM;MM9
GSM148939.CEL;MM;MM10
GSM148940.CEL;MM;MM11
GSM148942.CEL;MM;MM12
GSM148944.CEL;MM;MM13
GSM148946.CEL;MM;MM14
GSM148947.CEL;MM;MM15
GSM148949.CEL;MM;MM16
GSM148950.CEL;MM;MM17
GSM148951.CEL;MM;MM18
GSM148952.CEL;rMM;rMM12
GSM148955.CEL;MM;MM19
GSM148956.CEL;MM;MM20
GSM148958.CEL;MM;MM21
GSM148959.CEL;rMM;rMM13
GSM148960.CEL;MM;MM22
GSM148961.CEL;MM;MM23
GSM148962.CEL;rMM;rMM14
GSM148964.CEL;MM;MM24
GSM148967.CEL;MM;MM25
GSM148968.CEL;MM;MM26
GSM148969.CEL;rMM;rMM15
GSM148971.CEL;MM;MM27
GSM148973.CEL;MM;MM28
GSM148974.CEL;MM;MM29
GSM148978.CEL;MM;MM30
GSM148979.CEL;MM;MM31
GSM148980.CEL;rMM;rMM16
GSM148981.CEL;MM;MM32
GSM148983.CEL;MM;MM33
GSM148986.CEL;MM;MM34
GSM148987.CEL;MM;MM35
GSM148988.CEL;MM;MM36
GSM148989.CEL;MM;MM37
GSM148990.CEL;MM;MM38
GSM148991.CEL;MM;MM39
GSM148992.CEL;rMM;rMM17
GSM148993.CEL;MM;MM40
GSM148995.CEL;MM;MM41
GSM148996.CEL;HD;HD1
GSM148997.CEL;MM;MM42
GSM148998.CEL;MM;MM43
GSM148999.CEL;MM;MM44
GSM149000.CEL;rMM;rMM18
GSM149001.CEL;rMM;rMM19
GSM149002.CEL;MM;MM45
GSM149004.CEL;MM;MM46
GSM149005.CEL;MM;MM47
GSM149006.CEL;MM;MM48
GSM149007.CEL;MM;MM49
GSM149008.CEL;MM;MM50
GSM149009.CEL;MM;MM51
GSM149010.CEL;MM;MM52
GSM149012.CEL;rMM;rMM20
GSM149016.CEL;MM;MM53
GSM149017.CEL;MM;MM54
GSM149018.CEL;MM;MM55
GSM149019.CEL;MM;MM56
GSM149021.CEL;MM;MM57
GSM149023.CEL;rMM;rMM21
GSM149025.CEL;MM;MM58
GSM149028.CEL;rMM;rMM22
GSM149029.CEL;HD;HD2
GSM149030.CEL;rMM;rMM23
GSM149031.CEL;MM;MM59
GSM149032.CEL;rMM;rMM24
GSM149033.CEL;MM;MM60
GSM149034.CEL;rMM;rMM25
GSM149037.CEL;MM;MM61
GSM149038.CEL;MM;MM62
GSM149040.CEL;MM;MM63
GSM149043.CEL;rMM;rMM26
GSM149044.CEL;MM;MM64
GSM149045.CEL;HD;HD3
GSM149047.CEL;rMM;rMM27
GSM149048.CEL;MM;MM65
GSM149049.CEL;MM;MM66
GSM149050.CEL;MM;MM67
GSM149052.CEL;MM;MM68
GSM149054.CEL;MM;MM69
GSM149055.CEL;MM;MM70
GSM149056.CEL;MM;MM71
GSM149059.CEL;MM;MM72
GSM149060.CEL;rMM;rMM28
GSM149061.CEL;MM;MM73
GSM149062.CEL;HD;HD4
GSM149063.CEL;HD;HD5
GSM149064.CEL;HD;HD6
GSM149065.CEL;HD;HD7
GSM149066.CEL;HD;HD8
GSM149067.CEL;HD;HD9
GSM149068.CEL;HD;HD10
GSM149069.CEL;HD;HD11
GSM149070.CEL;HD;HD12
GSM149071.CEL;HD;HD13
GSM149072.CEL;HD;HD14
GSM149073.CEL;HD;HD15
