FileName;Group;ShortName
GSM3569443;MM;MM1
GSM3569444;MM;MM2
GSM3569445;MM;MM3
GSM3569446;MM;MM4
GSM3569447;MM;MM5
GSM3569448;MM;MM6
GSM3569449;MM;MM7
GSM3569450;MM;MM8
GSM3569451;MM;MM9
GSM3569452;MM;MM10
GSM3569453;MM;MM11
GSM3569454;MM;MM12
GSM3569455 ;MM;MM13
GSM3569456;MM;MM14
GSM3569457;MM;MM15
GSM3569458;HD;HD1
GSM3569459;MM;MM16
GSM3569460;MM;MM17
GSM3569461;MM;MM18
GSM3569462;MM;MM19
GSM3569463;MM;MM20
GSM3569464;MM;MM21
GSM3569465;MM;MM22
GSM3569466;MM;MM23
GSM3569467;MM;MM24
GSM3569468;MM;MM25
GSM3569469;MM;MM26
GSM3569470;MM;MM27
GSM3569471;MM;MM28
GSM3569472;MM;MM29
GSM3569473;MM;MM30
GSM3569474;MM;MM31
GSM3569475;MM;MM32
GSM3569476;MM;MM33
GSM3569477;MM;MM34
GSM3569478;MM;MM35
GSM3569479;MM;MM36
GSM3569480;MM;MM37
GSM3569481;MM;MM38
GSM3569482;HD;HD2
GSM3569483;MM;MM39
GSM3569484;MM;MM40
GSM3569485;MM;MM41
GSM3569486;MM;MM42
GSM3569487;MM;MM43
GSM3569488;MM;MM44
GSM3569489;MM;MM45
GSM3569490;HD;HD3
