FileName;Group;ShortName
GSM978669_SPORE_MM_2964_3.CEL;MM;MM102
GSM978670_SPORE_MM_2968_3.CEL;MM;MM103
GSM978671_SPORE_MM_2977_3.CEL;MM;MM104
GSM978672_SPORE_MM_2980_3.CEL;MM;MM105
GSM978673_SPORE_MM_2989_3.CEL;MM;MM106
GSM978674_SPORE_MM_2992_3.CEL;MM;MM107
GGSM978675_SPORE_MM_3018_3.CEL;MM;MM108
GSM978676_SPORE_MM_3038_3.CEL;MM;MM109
GSM978677_SPORE_MM_3044_3.CEL;MM;MM110
GSM978678_SPORE_MM_3062_3.CEL;MM;MM111
GSM978679_SPORE_MM_3065_3.CEL;MM;MM112
GSM978680_SPORE_MM_3071_3.CEL;MM;MM113
GSM978681_SPORE_MM_3085_3.CEL;MM;MM114
GSM978682_SPORE_MM_3089_3.CEL;MM;MM115
GSM978683_SPORE_MM_3110_3.CEL;MM;MM116
GSM978684_SPORE_MM_3121_3.CEL;MM;MM117
GSM978685_SPORE_MM_3164_3.CEL;MM;MM118
GSM978686_SPORE_MM_3166_3.CEL;MM;MM119
GSM978687_SPORE_MM_3186_3.CEL;MM;MM120
GSM978688_SPORE_MM_3224_3.CEL;MM;MM121
GSM978689_SPORE_MM_3242_3.CEL;MM;MM122
GSM978690_SPORE_MM_3243_3.CEL;MM;MM123
GSM978691_SPORE_MM_3251_3.CEL;MM;MM124
GSM978692_SPORE_MM_3255_3.CEL;MM;MM125
GSM978693_SPORE_MM_3286_3.CEL;MM;MM126
GSM978694_SPORE_MM_3294_3.CEL;MM;MM127
GSM978695_SPORE_MM_3298_3.CEL;MM;MM128
GSM978696_SPORE_MM_3306_3.CEL;MM;MM129
GSM978697_SPORE_MM_3322_3.CEL;MM;MM130
GSM978698_SPORE_MM_3328_3.CEL;MM;MM131
GSM978699_SPORE_MM_3339b_3.CEL;MM;MM132
GSM978700_SPORE_MM_3352_3.CEL;MM;MM133
GSM978701_SPORE_MM_3361_3.CEL;MM;MM134
GSM978702_SPORE_MM_3375_3.CEL;MM;MM135
GSM978703_SPORE_MM_3400_3.CEL;MM;MM136
GSM978704_SPORE_MM_3415_3.CEL;MM;MM137
GSM978705_SPORE_MM_3420_3.CEL;MM;MM138
GSM978706_SPORE_MM_3458_3.CEL;MM;MM139
GSM978707_SPORE_MM_3467_3.CEL;MM;MM140
GSM978708_SPORE_MM_3476_3.CEL;MM;MM141
GSM978709_SPORE_MM_3477_3.CEL;MM;MM142
GSM978710_SPORE_MM_3480_3.CEL;MM;MM143
GSM978711_SPORE_MM_3486_3.CEL;MM;MM144
GSM978712_SPORE_MM_3535_3.CEL;MM;MM145
GSM978713_SPORE_MM_3539_3.CEL;MM;MM146
GSM978714_SPORE_MM_3556_3.CEL;MM;MM147
GSM978715_SPORE_MM_3558_3.CEL;MM;MM148
GSM978716_SPORE_MM_3567_3.CEL;MM;MM149
GSM978717_SPORE_MM_3572_3.CEL;MM;MM150
GSM978718_SPORE_MM_3576_3.CEL;MM;MM151
GSM978719_SPORE_MM_3579_3.CEL;MM;MM152
GSM978720_SPORE_MM_3589_3.CEL;MM;MM153
GSM978721_SPORE_MM_3597_3.CEL;MM;MM154
GSM978722_SPORE_MM_3612_3.CEL;MM;MM155
GSM978723_SPORE_MM_3614_3.CEL;MM;MM156
GSM978724_SPORE_MM_3628_3.CEL;MM;MM157
GSM978725_SPORE_MM_3711_3.CEL;MM;MM158
GSM978726_SPORE_MM_3723_3.CEL;MM;MM159
GSM978727_SPORE_MM_3745_3.CEL;MM;MM160
GSM978728_SPORE_MM_3750_3.CEL;MM;MM161
GSM978729_SPORE_MM_3767_3.CEL;MM;MM162
GSM978730_SPORE_MM_3775_3.CEL;MM;MM163
GSM978731_SPORE_MM_3788_3.CEL;MM;MM164
GSM978732_SPORE_MM_3833_3.CEL;MM;MM165
GSM978733_SPORE_MM_501_3.CEL;MM;MM166
GSM978734_SPORE_MM_588_3.CEL;MM;MM167
GSM978735_SPORE_MM_838_3.CEL;MM;MM168
GSM978736_SPORE_MM_989_3.CEL;MM;MM169
GSM978737_SPORE_MM_997_3.CEL;MM;MM170
