FileName;Group;ShortName
GSM3355572_P1350-02-BS4026-U133Plus-2.cel;MM;MM88
GSM3355573_P1371-02-BS4201-U133Plus-2.cel;MM;MM89
GSM3355574_P1384-03-BS4352-U133Plus-2.cel;MM;MM90
GSM3355575_P1383-04-BS4205-U133Plus-2.cel;MM;MM91
GSM3355576_P1390-02-BS4066-U133Plus-2.cel;MM;MM92
GSM3355577_P1380-00-BS4012-U133Plus-2.cel;MM;MM93
GSM3355578_P1389-02-BS3438-U133Plus-2.cel;MM;MM94
GSM3355579_P1391-02-BS4264-U133Plus-2.cel;MM;MM95
GSM3355580_N098-01-BS1982-U133Plus-2.cel;HD;HD2
GSM3355581_P1176-00-BS2578-U133Plus-2.cel;MM;MM96
GSM3355582_P1239-05-BS2918-U133Plus-2.cel;MM;MM97
GSM3355583_P1173-03-BS2435-U133Plus-2.cel;MM;MM98
GSM3355584_P1405-02-BS4588-U133Plus-2.cel;MM;MM99
GSM3355585_P1408-02-BS4661-U133Plus-2.cel;MM;MM100
GSM3355586_P1425-01-BS4760-U133Plus-2.cel;MM;MM101
GSM3355587_P1409-02-BS4560-U133Plus-2.cel;MM;MM102
GSM3355588_P1424-01-BS4756-U133Plus-2.cel;MM;MM103
GSM3355589_P1402-02-BS4590-U133Plus-2.cel;MM;MM104
GSM3355590_P1016-03-BS4747-U133Plus-2.cel;MM;MM105
GSM3355591_P1407-02-BS4696-U133Plus-2.cel;MM;MM106
GSM3355592_P1465-03-BS5756-U133Plus-2.cel;MM;MM107
GSM3355593_P1459-01-BS4906-U133Plus-2.cel;MM;MM108
GSM3355594_P1448-04-BS5055-U133Plus-2.cel;MM;MM109
GSM3355595_P1446-02-BS4814-U133Plus-2.cel;MM;MM110
GSM3355596_P1437-04-BS4828-U133Plus-2.cel;MM;MM111
GSM3355597_P1441-04-BS5083-U133Plus-2.cel;MM;MM112
GSM3355598_P1434-03-BS4955-U133Plus-2.cel;MM;MM113
GSM3355599_P1445-02-BS5096-U133Plus-2.cel;MM;MM114
GSM3355600_P1453-03-BS4848-U133Plus-2.cel;MM;MM115
GSM3355601_P1458-02-BS4771-U133Plus-2.cel;MM;MM116
GSM3355602_P1463-02-BS5288-U133Plus-2.cel;MM;MM117
GSM3355603_P1451-02-BS5042-U133Plus-2.cel;MM;MM118
GSM3355604_P1581-04-BS6023-U133Plus-2.cel;MM;MM119
GSM3355605_P1606-02-BS6521-U133Plus-2.cel;MM;MM120
GSM3355606_P1805-01-BS7494-U133Plus-2.cel;MM;MM121
GSM3355607_P1693-03-BS7566-U133Plus-2.cel;MM;MM122
GSM3355608_P1691-03-BS7560-U133Plus-2.cel;MM;MM123
GSM3355610_P1735-03-BS7831-U133Plus-2.cel;MM;MM124
GSM3355611_P1628-03-BS6893-U133Plus-2.cel;MM;MM125
GSM3355612_P1778-01-BS7341-U133Plus-2.cel;MM;MM126
GSM3355613_P1775-01-BS7978-U133Plus-2.cel;MM;MM127
GSM3355614_P1694-04-BS7515-U133Plus-2.cel;MM;MM128
GSM3355615_P1774-01-BS7846-U133Plus-2.cel;MM;MM129
GSM3355616_P0462-03-BS6067-U133Plus-2.cel;MM;MM130
GSM3355617_P1550-03-BS5597-U133Plus-2.cel;MM;MM131
GSM3355618_P1432-02-BS5482-U133Plus-2.cel;MM;MM132
GSM3355619_P1529-03-BS6081-U133Plus-2.cel;MM;MM133
GSM3355620_P1595-04-BS5940-U133Plus-2.cel;MM;MM134
GSM3355621_P1596-02-BS5862-U133Plus-2_2.cel;MM;MM135
GSM3355622_P1502-02-BS5939-U133Plus-2.cel;MM;MM136
GSM3355623_P1580-04-BS5745-U133Plus-2.cel;MM;MM137
GSM3355624_P1773-01-BS6008-U133Plus-2.cel;MM;MM138
