FileName;Group;ShortName
GSM3227604_NORM.1.CEL;HD;HD1
GSM3227605_NORM.2.CEL;HD;HD2
GSM3227606_NORM.3.CEL;HD;HD3
GSM3227607_NORM.4.CEL;HD;HD4
GSM3227608_MM.004.CEL;MM;MM1
GSM3227609_MM.021.CEL;MM;MM2
GSM3227610_MM.025.CEL;MM;MM3
GSM3227611_MM.030.CEL;MM;MM4
GSM3227612_MM.035.CEL;MM;MM5
GSM3227613_MM.039.CEL;MM;MM6
GSM3227614_MM.040.CEL;MM;MM7
GSM3227615_MM.042.CEL;MM;MM8
GSM3227616_MM.043.CEL;MM;MM9
GSM3227617_MM.049.CEL;MM;MM10
GSM3227618_MM.050.CEL;MM;MM11
GSM3227619_MM.052.CEL;MM;MM12
GSM3227620_MM.055.CEL;MM;MM13
GSM3227621_MM.056.CEL;MM;MM14
GSM3227622_MM.066.CEL;MM;MM15
GSM3227623_MM.069.CEL;MM;MM16
GSM3227624_MM.074.CEL;MM;MM17
GSM3227625_MM.078.CEL;MM;MM18
GSM3227626_MM.104.CEL;MM;MM19
GSM3227627_MM.115.CEL;MM;MM20
GSM3227628_MM.123.CEL;MM;MM21
GSM3227629_MM.154.CEL;MM;MM22
GSM3227630_MM.179.CEL;MM;MM23
GSM3227631_MM.206.CEL;MM;MM24
GSM3227632_MM.212.CEL;MM;MM25
GSM3227633_MM.213.CEL;MM;MM26
GSM3227634_MM.239.CEL;MM;MM27
GSM3227635_MM.243.CEL;MM;MM28
GSM3227636_MM.263.CEL;MM;MM29
GSM3227637_MM.268.CEL;MM;MM30
GSM3227638_MM.269.CEL;MM;MM31
GSM3227639_MM.274.CEL;MM;MM32
GSM3227640_MM.278.CEL;MM;MM33
GSM3227641_MM.295.CEL;MM;MM34
GSM3227642_MM.301.CEL;MM;MM35
GSM3227643_MM.302.CEL;MM;MM36
GSM3227644_MM.310.CEL;MM;MM37
GSM3227645_MM.313.CEL;MM;MM38
GSM3227646_MM.314.CEL;MM;MM39
GSM3227647_MM.321.CEL;MM;MM40
GSM3227648_MM.330.CEL;MM;MM41
GSM3227649_MM.335.CEL;MM;MM42
GSM3227650_MM.375.CEL;MM;MM43
GSM3227651_MM.392.CEL;MM;MM44
GSM3227652_MM.398.CEL;MM;MM45
GSM3227653_MM.402.CEL;MM;MM46
GSM3227654_MM.406.CEL;MM;MM47
GSM3227655_MM.413.CEL;MM;MM48
GSM3227656_MM.431.CEL;MM;MM49
GSM3227657_MM.464.CEL;MM;MM50
